id_penjualan,tanggal,bulan,id_customer,nama,grup,cabang_sales,id_barang,nama_barang,jumlah_barang,unit,brand,harga,total_sales
IN6024BRG0007,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0007,"ERGOTAMINE COFFEINE",8,BOTOL,ETIKAL,64700,517600
IN6024BRG0008,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0008,"TETRACYCLINE KAPSUL 250 MG",12,TABLET,MARCKS,9800,117600
IN6024BRG0010,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0010,PARACETAMOL,16,BOTOL,SLCYL,21000,336000
IN6028BRG0001,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0001,"ACYCLOVIR DUS",98,DUS,"OGB & PH",96000,9408000
IN6028BRG0002,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0002,"ALERGINE TABLET SALUT",5,DUS,ETIKAL,112000,560000
IN6028BRG0003,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0003,AMPICILLIN,4,BOTOL,MARCKS,17000,68000
IN6028BRG0004,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0004,"TRAMADOL KAPSUL 50 MG",8,TABLET,VNS,24500,196000
IN6028BRG0005,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",9,TABLET,SLCYL,47000,423000
IN6028BRG0006,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0006,"KETOCONAZOLE TABLET 200 MG",10,TABLET,"OGB & PH",39000,390000
IN6028BRG0007,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0007,"ERGOTAMINE COFFEINE",7,BOTOL,ETIKAL,64700,452900
IN6028BRG0008,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0008,"TETRACYCLINE KAPSUL 250 MG",100,TABLET,MARCKS,9800,980000
IN6028BRG0009,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0009,"AMBROXOL HC",67,BOTOL,VNS,31000,2077000
IN6028BRG0010,2022-01-30,January,CUST55420,"APOTEK MERDEKA",Apotek,Bandung,BRG0010,PARACETAMOL,78,BOTOL,SLCYL,21000,1638000
IN6029BRG0001,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0001,"ACYCLOVIR DUS",1,DUS,"OGB & PH",96000,96000
IN6029BRG0003,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0003,AMPICILLIN,5,BOTOL,MARCKS,17000,85000
IN6029BRG0004,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0004,"TRAMADOL KAPSUL 50 MG",7,TABLET,VNS,24500,171500
IN6029BRG0005,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",7,TABLET,SLCYL,47000,329000
IN6029BRG0006,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0006,"KETOCONAZOLE TABLET 200 MG",7,TABLET,"OGB & PH",39000,273000
IN6029BRG0007,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0007,"ERGOTAMINE COFFEINE",14,BOTOL,ETIKAL,64700,905800
IN6029BRG0008,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0008,"TETRACYCLINE KAPSUL 250 MG",8,TABLET,MARCKS,9800,78400
IN6029BRG0009,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0009,"AMBROXOL HC",18,BOTOL,VNS,31000,558000
IN6029BRG0010,2022-01-28,January,CUST55389,"KLINIK GM",Klinik,Jakarta,BRG0010,PARACETAMOL,20,BOTOL,SLCYL,21000,420000
IN6036BRG0003,2022-01-27,January,CUST55388,"APOTEK MAJA",Apotek,Kuningan,BRG0003,AMPICILLIN,15,BOTOL,MARCKS,17000,255000
IN6036BRG0004,2022-01-27,January,CUST55388,"APOTEK MAJA",Apotek,Kuningan,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6036BRG0009,2022-01-27,January,CUST55388,"APOTEK MAJA",Apotek,Kuningan,BRG0009,"AMBROXOL HC",22,BOTOL,VNS,31000,682000
IN6036BRG0010,2022-01-27,January,CUST55388,"APOTEK MAJA",Apotek,Kuningan,BRG0010,PARACETAMOL,10,BOTOL,SLCYL,21000,210000
IN6052BRG0006,2022-01-23,January,CUST55385,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0006,"KETOCONAZOLE TABLET 200 MG",5,TABLET,"OGB & PH",39000,195000
IN6052BRG0009,2022-01-23,January,CUST55385,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0009,"AMBROXOL HC",5,BOTOL,VNS,31000,155000
IN6052BRG0010,2022-01-23,January,CUST55385,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0010,PARACETAMOL,5,BOTOL,SLCYL,21000,105000
IN6063BRG0001,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0001,"ACYCLOVIR DUS",12,DUS,"OGB & PH",96000,1152000
IN6063BRG0002,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0002,"ALERGINE TABLET SALUT",25,DUS,ETIKAL,112000,2800000
IN6063BRG0003,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0003,AMPICILLIN,14,BOTOL,MARCKS,17000,238000
IN6063BRG0004,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0004,"TRAMADOL KAPSUL 50 MG",21,TABLET,VNS,24500,514500
IN6063BRG0005,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,TABLET,SLCYL,47000,1128000
IN6063BRG0006,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0006,"KETOCONAZOLE TABLET 200 MG",10,TABLET,"OGB & PH",39000,390000
IN6063BRG0007,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0007,"ERGOTAMINE COFFEINE",23,BOTOL,ETIKAL,64700,1488100
IN6063BRG0008,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0008,"TETRACYCLINE KAPSUL 250 MG",12,TABLET,MARCKS,9800,117600
IN6063BRG0009,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0009,"AMBROXOL HC",10,BOTOL,VNS,31000,310000
IN6063BRG0010,2022-02-01,February,CUST55417,"APOTEK TAPAK",Apotek,Aceh,BRG0010,PARACETAMOL,67,BOTOL,SLCYL,21000,1407000
IN6064BRG0004,2022-02-02,February,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0004,"TRAMADOL KAPSUL 50 MG",24,TABLET,VNS,24500,588000
IN6064BRG0005,2022-02-02,February,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,TABLET,SLCYL,47000,1128000
IN6089BRG0007,2022-01-25,January,CUST55386,"APOTEK SAHABAT",Apotek,Padang,BRG0007,"ERGOTAMINE COFFEINE",9,BOTOL,ETIKAL,64700,582300
IN6102BRG0003,2022-01-31,January,CUST55392,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0003,AMPICILLIN,11,BOTOL,MARCKS,17000,187000
IN6102BRG0007,2022-01-31,January,CUST55392,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0007,"ERGOTAMINE COFFEINE",24,BOTOL,ETIKAL,64700,1552800
IN6113BRG0001,2022-02-01,February,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0001,"ACYCLOVIR DUS",2,DUS,"OGB & PH",96000,192000
IN6113BRG0002,2022-02-01,February,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0002,"ALERGINE TABLET SALUT",2,DUS,ETIKAL,112000,224000
IN6113BRG0004,2022-02-01,February,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6113BRG0005,2022-02-01,February,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,TABLET,SLCYL,47000,564000
IN6131BRG0009,2022-01-28,January,CUST55418,"APOTEK MAJA",Apotek,Kuningan,BRG0009,"AMBROXOL HC",10,BOTOL,VNS,31000,310000
IN6131BRG0010,2022-01-28,January,CUST55418,"APOTEK MAJA",Apotek,Kuningan,BRG0010,PARACETAMOL,27,BOTOL,SLCYL,21000,567000
IN6144BRG0004,2022-01-22,January,CUST55383,"APOTEK MERDEKA",Apotek,Bandung,BRG0004,"TRAMADOL KAPSUL 50 MG",13,TABLET,VNS,24500,318500
IN6144BRG0007,2022-01-22,January,CUST55383,"APOTEK MERDEKA",Apotek,Bandung,BRG0007,"ERGOTAMINE COFFEINE",13,BOTOL,ETIKAL,64700,841100
IN6144BRG0008,2022-01-22,January,CUST55383,"APOTEK MERDEKA",Apotek,Bandung,BRG0008,"TETRACYCLINE KAPSUL 250 MG",13,TABLET,MARCKS,9800,127400
IN6144BRG0009,2022-01-22,January,CUST55383,"APOTEK MERDEKA",Apotek,Bandung,BRG0009,"AMBROXOL HC",13,BOTOL,VNS,31000,403000
IN6144BRG0010,2022-01-22,January,CUST55383,"APOTEK MERDEKA",Apotek,Bandung,BRG0010,PARACETAMOL,13,BOTOL,SLCYL,21000,273000
IN6155BRG0003,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0003,AMPICILLIN,9,BOTOL,MARCKS,17000,153000
IN6155BRG0004,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6155BRG0005,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,TABLET,SLCYL,47000,564000
IN6155BRG0006,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0006,"KETOCONAZOLE TABLET 200 MG",22,TABLET,"OGB & PH",39000,858000
IN6155BRG0007,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0007,"ERGOTAMINE COFFEINE",10,BOTOL,ETIKAL,64700,647000
IN6155BRG0008,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0008,"TETRACYCLINE KAPSUL 250 MG",25,TABLET,MARCKS,9800,245000
IN6155BRG0009,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0009,"AMBROXOL HC",25,BOTOL,VNS,31000,775000
IN6155BRG0010,2022-01-21,January,CUST55382,"KLINIK GM",Klinik,Jakarta,BRG0010,PARACETAMOL,12,BOTOL,SLCYL,21000,252000
IN6184BRG0002,2022-01-28,January,CUST55395,"APOTEK TAPAK",Apotek,Aceh,BRG0002,"ALERGINE TABLET SALUT",1,DUS,ETIKAL,112000,112000
IN6184BRG0003,2022-01-28,January,CUST55395,"APOTEK TAPAK",Apotek,Aceh,BRG0003,AMPICILLIN,12,BOTOL,MARCKS,17000,204000
IN6184BRG0004,2022-01-28,January,CUST55395,"APOTEK TAPAK",Apotek,Aceh,BRG0004,"TRAMADOL KAPSUL 50 MG",25,TABLET,VNS,24500,612500
IN6184BRG0006,2022-01-28,January,CUST55395,"APOTEK TAPAK",Apotek,Aceh,BRG0006,"KETOCONAZOLE TABLET 200 MG",25,TABLET,"OGB & PH",39000,975000
IN6190BRG0001,2022-01-23,January,CUST55390,"APOTEK MERDEKA",Apotek,Bandung,BRG0001,"ACYCLOVIR DUS",40,DUS,"OGB & PH",96000,3840000
IN6195BRG0004,2022-01-31,January,CUST55398,"APOTEK MERDEKA",Apotek,Bandung,BRG0004,"TRAMADOL KAPSUL 50 MG",10,TABLET,VNS,24500,245000
IN6195BRG0007,2022-01-31,January,CUST55398,"APOTEK MERDEKA",Apotek,Bandung,BRG0007,"ERGOTAMINE COFFEINE",10,BOTOL,ETIKAL,64700,647000
IN6195BRG0009,2022-01-31,January,CUST55398,"APOTEK MERDEKA",Apotek,Bandung,BRG0009,"AMBROXOL HC",67,BOTOL,VNS,31000,2077000
IN6245BRG0008,2022-01-30,January,CUST55397,"KLINIK GM",Klinik,Jakarta,BRG0008,"TETRACYCLINE KAPSUL 250 MG",34,TABLET,MARCKS,9800,333200
IN6251BRG0001,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0001,"ACYCLOVIR DUS",2,DUS,"OGB & PH",96000,192000
IN6251BRG0002,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0002,"ALERGINE TABLET SALUT",2,DUS,ETIKAL,112000,224000
IN6251BRG0003,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0003,AMPICILLIN,12,BOTOL,MARCKS,17000,204000
IN6251BRG0004,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0004,"TRAMADOL KAPSUL 50 MG",5,TABLET,VNS,24500,122500
IN6251BRG0005,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5,TABLET,SLCYL,47000,235000
IN6251BRG0006,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0006,"KETOCONAZOLE TABLET 200 MG",5,TABLET,"OGB & PH",39000,195000
IN6251BRG0007,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0007,"ERGOTAMINE COFFEINE",12,BOTOL,ETIKAL,64700,776400
IN6251BRG0008,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0008,"TETRACYCLINE KAPSUL 250 MG",5,TABLET,MARCKS,9800,49000
IN6251BRG0009,2022-01-23,January,CUST55387,"APOTEK TAPAK",Apotek,Aceh,BRG0009,"AMBROXOL HC",12,BOTOL,VNS,31000,372000
IN6259BRG0002,2022-02-01,February,CUST55405,"APOTEK MERDEKA",Apotek,Bandung,BRG0002,"ALERGINE TABLET SALUT",25,DUS,ETIKAL,112000,2800000
IN6259BRG0003,2022-02-01,February,CUST55405,"APOTEK MERDEKA",Apotek,Bandung,BRG0003,AMPICILLIN,14,BOTOL,MARCKS,17000,238000
IN6259BRG0004,2022-02-01,February,CUST55405,"APOTEK MERDEKA",Apotek,Bandung,BRG0004,"TRAMADOL KAPSUL 50 MG",18,TABLET,VNS,24500,441000
IN6259BRG0005,2022-02-01,February,CUST55405,"APOTEK MERDEKA",Apotek,Bandung,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",18,TABLET,SLCYL,47000,846000
IN6259BRG0006,2022-02-01,February,CUST55405,"APOTEK MERDEKA",Apotek,Bandung,BRG0006,"KETOCONAZOLE TABLET 200 MG",19,TABLET,"OGB & PH",39000,741000
IN6280BRG0001,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0001,"ACYCLOVIR DUS",2,DUS,"OGB & PH",96000,192000
IN6280BRG0002,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0002,"ALERGINE TABLET SALUT",3,DUS,ETIKAL,112000,336000
IN6280BRG0005,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5,TABLET,SLCYL,47000,235000
IN6280BRG0006,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0006,"KETOCONAZOLE TABLET 200 MG",25,TABLET,"OGB & PH",39000,975000
IN6280BRG0007,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0007,"ERGOTAMINE COFFEINE",10,BOTOL,ETIKAL,64700,647000
IN6280BRG0009,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0009,"AMBROXOL HC",10,BOTOL,VNS,31000,310000
IN6280BRG0010,2022-01-23,January,CUST55384,"KLINIK SAHABAT",Klinik,Tangerang,BRG0010,PARACETAMOL,10,BOTOL,SLCYL,21000,210000
IN6287BRG0002,2022-01-30,January,CUST55391,"KLINIK SAHABAT",Klinik,Tangerang,BRG0002,"ALERGINE TABLET SALUT",17,DUS,ETIKAL,112000,1904000
IN6287BRG0006,2022-01-30,January,CUST55391,"KLINIK SAHABAT",Klinik,Tangerang,BRG0006,"KETOCONAZOLE TABLET 200 MG",20,TABLET,"OGB & PH",39000,780000
IN6287BRG0010,2022-01-30,January,CUST55391,"KLINIK SAHABAT",Klinik,Tangerang,BRG0010,PARACETAMOL,16,BOTOL,SLCYL,21000,336000
IN6297BRG0002,2022-01-20,January,CUST55381,"APOTEK MAJA",Apotek,Kuningan,BRG0002,"ALERGINE TABLET SALUT",5,DUS,ETIKAL,112000,560000
IN6297BRG0005,2022-01-20,January,CUST55381,"APOTEK MAJA",Apotek,Kuningan,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",15,TABLET,SLCYL,47000,705000
IN6297BRG0007,2022-01-20,January,CUST55381,"APOTEK MAJA",Apotek,Kuningan,BRG0007,"ERGOTAMINE COFFEINE",12,BOTOL,ETIKAL,64700,776400
IN6297BRG0008,2022-01-20,January,CUST55381,"APOTEK MAJA",Apotek,Kuningan,BRG0008,"TETRACYCLINE KAPSUL 250 MG",30,TABLET,MARCKS,9800,294000
IN6301BRG0004,2022-02-01,February,CUST55393,"APOTEK SAHABAT",Apotek,Padang,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6301BRG0006,2022-02-01,February,CUST55393,"APOTEK SAHABAT",Apotek,Padang,BRG0006,"KETOCONAZOLE TABLET 200 MG",12,TABLET,"OGB & PH",39000,468000
IN6301BRG0008,2022-02-01,February,CUST55393,"APOTEK SAHABAT",Apotek,Padang,BRG0008,"TETRACYCLINE KAPSUL 250 MG",24,TABLET,MARCKS,9800,235200
IN6301BRG0009,2022-02-01,February,CUST55393,"APOTEK SAHABAT",Apotek,Padang,BRG0009,"AMBROXOL HC",10,BOTOL,VNS,31000,310000
IN6306BRG0001,2022-01-27,January,CUST55430,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0001,"ACYCLOVIR DUS",45,DUS,"OGB & PH",96000,4320000
IN6306BRG0004,2022-01-27,January,CUST55430,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0004,"TRAMADOL KAPSUL 50 MG",45,TABLET,VNS,24500,1102500
IN6306BRG0005,2022-01-27,January,CUST55430,"APOTEK SINAR JAYA",Apotek,Bekasi,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",34,TABLET,SLCYL,47000,1598000
IN6307BRG0001,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0001,"ACYCLOVIR DUS",4,DUS,"OGB & PH",96000,384000
IN6307BRG0002,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0002,"ALERGINE TABLET SALUT",4,DUS,ETIKAL,112000,448000
IN6307BRG0003,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0003,AMPICILLIN,24,BOTOL,MARCKS,17000,408000
IN6307BRG0004,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6307BRG0005,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",14,TABLET,SLCYL,47000,658000
IN6307BRG0006,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0006,"KETOCONAZOLE TABLET 200 MG",15,TABLET,"OGB & PH",39000,585000
IN6307BRG0007,2022-01-23,January,CUST55396,"APOTEK MAJA",Apotek,Kuningan,BRG0007,"ERGOTAMINE COFFEINE",22,BOTOL,ETIKAL,64700,1423400
IN6308BRG0001,2022-01-23,January,CUST55397,"KLINIK GM",Klinik,Jakarta,BRG0001,"ACYCLOVIR DUS",8,DUS,"OGB & PH",96000,768000
IN6308BRG0006,2022-01-23,January,CUST55397,"KLINIK GM",Klinik,Jakarta,BRG0006,"KETOCONAZOLE TABLET 200 MG",10,TABLET,"OGB & PH",39000,390000
